id,name,externalid,,,,
3036,Wald ,,,,628,Huemoz
3037,Walzenhausen,,,,629,Huetten
3038,Wolfhalden,,,,630,Hugelshofen
304,Kallnach,,,,631,Hundwil
305,Kappelen,,,,632,Hunzenschwil
306,Lyss,,,,633,Huttwil
307,Meikirch,,,,634,Hägendorf
309,Radelfingen,,,,635,Häggenschwil
31,Henggart,,,,636,Härkingen
310,Rapperswil ,,,,637,Hätzingen
3101,Appenzell,,,,638,Hérémence
3102,Gonten,,,,639,Hölstein
3103,Rüte,,,,640,Hünenberg
3104,Schlatt-Haslen,,,,641,Hünenberg See
3105,Schwende,,,,642,Hünibach
311,Schüpfen,,,,643,Hüntwangen
3111,Oberegg,,,,644,Hüttwilen
312,Seedorf ,,,,645,Ibach
32,Humlikon,,,,646,Icogne
3201,Häggenschwil,,,,647,Iffwil
3202,Muolen,,,,648,Ifwil
3203,St. Gallen,,,,649,Igis
3204,Wittenbach,,,,650,Illarsaz/Muraz
321,Aarwangen,,,,651,Illgau
3211,Berg (SG),,,,652,Illnau
3212,Eggersriet,,,,653,Innerberg
3213,Goldach,,,,654,Innerberg BE
3214,Mörschwil,,,,655,Innertkirchen
3215,Rorschach,,,,656,Ins
